"Plot Title: 10715208"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10715208, SEN S/N: 10715208)","Intensity, lum/ft² (LGR S/N: 10715208, SEN S/N: 10715208)","Coupler Detached (LGR S/N: 10715208)","Coupler Attached (LGR S/N: 10715208)","Host Connected (LGR S/N: 10715208)","Stopped (LGR S/N: 10715208)","End Of File (LGR S/N: 10715208)"
1,03/17/17 09:18:49 AM,65.680,0.0,,,,,
2,03/17/17 09:18:55 AM,,,Logged,,,,
3,03/17/17 09:48:49 AM,70.824,0.0,,,,,
4,03/17/17 10:18:49 AM,71.856,0.0,,,,,
5,03/17/17 10:48:49 AM,101.887,160.0,,,,,
6,03/17/17 11:18:49 AM,98.307,2176.0,,,,,
7,03/17/17 11:48:49 AM,96.942,1728.0,,,,,
8,03/17/17 12:18:49 PM,97.720,2176.0,,,,,
9,03/17/17 12:48:49 PM,99.885,200.0,,,,,
10,03/17/17 01:18:49 PM,98.699,2.0,,,,,
11,03/17/17 01:48:49 PM,97.525,1.0,,,,,
12,03/17/17 02:14:11 PM,,,,Logged,,,
13,03/17/17 02:14:13 PM,,,Logged,,,,
14,03/17/17 02:14:56 PM,,,,Logged,,,
15,03/17/17 02:14:59 PM,,,Logged,,,,
16,03/17/17 02:15:40 PM,,,,Logged,,,
17,03/17/17 02:18:49 PM,96.555,2.0,,,,,
18,03/17/17 02:25:48 PM,,,Logged,,,,
19,03/17/17 02:48:49 PM,96.361,2.0,,,,,
20,03/17/17 03:18:49 PM,96.361,5.0,,,,,
21,03/17/17 03:48:49 PM,95.207,38.0,,,,,
22,03/17/17 03:49:00 PM,,,,Logged,,,
23,03/17/17 04:18:49 PM,83.043,13.0,,,,,
24,03/17/17 04:48:49 PM,79.326,9.0,,,,,
25,03/17/17 05:18:49 PM,78.274,9.0,,,,,
26,03/17/17 05:48:49 PM,77.574,5.0,,,,,
27,03/17/17 06:18:49 PM,76.703,1.0,,,,,
28,03/17/17 06:48:49 PM,76.354,0.0,,,,,
29,03/17/17 07:18:49 PM,76.006,0.0,,,,,
30,03/17/17 07:48:49 PM,75.659,0.0,,,,,
31,03/17/17 08:18:49 PM,75.312,0.0,,,,,
32,03/17/17 08:48:49 PM,75.139,0.0,,,,,
33,03/17/17 09:18:49 PM,74.964,0.0,,,,,
34,03/17/17 09:48:49 PM,74.619,0.0,,,,,
35,03/17/17 10:18:49 PM,74.271,0.0,,,,,
36,03/17/17 10:48:49 PM,74.098,0.0,,,,,
37,03/17/17 11:18:49 PM,73.926,0.0,,,,,
38,03/17/17 11:48:49 PM,73.753,0.0,,,,,
39,03/18/17 12:18:49 AM,73.407,0.0,,,,,
40,03/18/17 12:48:49 AM,73.234,0.0,,,,,
41,03/18/17 01:18:49 AM,73.062,0.0,,,,,
42,03/18/17 01:48:49 AM,72.891,0.0,,,,,
43,03/18/17 02:18:49 AM,72.718,0.0,,,,,
44,03/18/17 02:48:49 AM,72.545,0.0,,,,,
45,03/18/17 03:18:49 AM,72.372,0.0,,,,,
46,03/18/17 03:48:49 AM,72.028,0.0,,,,,
47,03/18/17 04:18:49 AM,71.856,0.0,,,,,
48,03/18/17 04:48:49 AM,71.683,0.0,,,,,
49,03/18/17 05:18:49 AM,71.512,0.0,,,,,
50,03/18/17 05:48:49 AM,71.339,0.0,,,,,
51,03/18/17 06:18:49 AM,71.168,0.0,,,,,
52,03/18/17 06:48:49 AM,70.995,0.0,,,,,
53,03/18/17 07:18:49 AM,70.824,2.0,,,,,
54,03/18/17 07:48:49 AM,70.824,15.0,,,,,
55,03/18/17 08:18:49 AM,70.824,14.0,,,,,
56,03/18/17 08:46:28 AM,,,Logged,,,,
57,03/18/17 08:48:49 AM,70.995,5.0,,,,,
58,03/18/17 09:18:49 AM,70.995,4.0,,,,,
59,03/18/17 09:48:49 AM,76.876,152.0,,,,,
60,03/18/17 10:18:49 AM,80.559,184.0,,,,,
61,03/18/17 10:48:49 AM,80.911,672.0,,,,,
62,03/18/17 11:18:49 AM,86.097,3.0,,,,,
63,03/18/17 11:48:49 AM,90.124,2.0,,,,,
64,03/18/17 12:18:49 PM,102.290,59.0,,,,,
65,03/18/17 12:48:49 PM,92.926,1472.0,,,,,
66,03/18/17 01:18:49 PM,88.282,1152.0,,,,,
67,03/18/17 01:48:49 PM,90.495,448.0,,,,,
68,03/18/17 02:18:49 PM,107.046,3712.0,,,,,
69,03/18/17 02:48:49 PM,115.407,3840.0,,,,,
70,03/18/17 03:18:49 PM,118.441,13312.0,,,,,
71,03/18/17 03:48:49 PM,113.814,7936.0,,,,,
72,03/18/17 04:18:49 PM,96.168,2816.0,,,,,
73,03/18/17 04:48:49 PM,90.124,2176.0,,,,,
74,03/18/17 05:18:49 PM,84.654,1728.0,,,,,
75,03/18/17 05:48:49 PM,79.678,704.0,,,,,
76,03/18/17 06:18:49 PM,74.271,336.0,,,,,
77,03/18/17 06:48:49 PM,69.278,57.0,,,,,
78,03/18/17 07:18:49 PM,65.167,0.0,,,,,
79,03/18/17 07:48:49 PM,62.769,0.0,,,,,
80,03/18/17 08:18:49 PM,61.398,0.0,,,,,
81,03/18/17 08:48:49 PM,60.024,0.0,,,,,
82,03/18/17 09:18:49 PM,58.647,0.0,,,,,
83,03/18/17 09:48:49 PM,57.096,0.0,,,,,
84,03/18/17 10:18:49 PM,56.750,0.0,,,,,
85,03/18/17 10:48:49 PM,55.537,0.0,,,,,
86,03/18/17 11:18:49 PM,54.669,0.0,,,,,
87,03/18/17 11:48:49 PM,56.057,0.0,,,,,
88,03/19/17 12:18:49 AM,56.577,0.0,,,,,
89,03/19/17 12:48:49 AM,54.669,0.0,,,,,
90,03/19/17 01:18:49 AM,52.401,0.0,,,,,
91,03/19/17 01:48:49 AM,51.346,0.0,,,,,
92,03/19/17 02:18:49 AM,50.290,0.0,,,,,
93,03/19/17 02:48:49 AM,49.582,0.0,,,,,
94,03/19/17 03:18:49 AM,49.050,0.0,,,,,
95,03/19/17 03:48:49 AM,48.517,0.0,,,,,
96,03/19/17 04:18:49 AM,48.517,0.0,,,,,
97,03/19/17 04:48:49 AM,49.404,0.0,,,,,
98,03/19/17 05:18:49 AM,49.759,0.0,,,,,
99,03/19/17 05:48:49 AM,49.937,0.0,,,,,
100,03/19/17 06:18:49 AM,49.937,0.0,,,,,
101,03/19/17 06:48:49 AM,50.819,62.0,,,,,
102,03/19/17 07:18:49 AM,55.537,576.0,,,,,
103,03/19/17 07:48:49 AM,66.708,1088.0,,,,,
104,03/19/17 08:18:49 AM,72.891,1536.0,,,,,
105,03/19/17 08:48:49 AM,83.757,4096.0,,,,,
106,03/19/17 09:18:49 AM,83.399,2048.0,,,,,
107,03/19/17 09:48:49 AM,94.825,9216.0,,,,,
108,03/19/17 10:18:49 AM,110.701,12800.0,,,,,
109,03/19/17 10:48:49 AM,101.484,12288.0,,,,,
110,03/19/17 11:18:49 AM,107.258,4864.0,,,,,
111,03/19/17 11:48:49 AM,109.180,11264.0,,,,,
112,03/19/17 12:18:49 PM,115.178,5632.0,,,,,
113,03/19/17 12:48:49 PM,108.108,7680.0,,,,,
114,03/19/17 01:18:49 PM,114.949,16384.0,,,,,
115,03/19/17 01:48:49 PM,120.848,17408.0,,,,,
116,03/19/17 02:18:49 PM,120.605,10752.0,,,,,
117,03/19/17 02:48:49 PM,119.158,11776.0,,,,,
118,03/19/17 03:18:49 PM,119.637,12800.0,,,,,
119,03/19/17 03:48:49 PM,113.587,8192.0,,,,,
120,03/19/17 04:18:49 PM,97.137,3840.0,,,,,
121,03/19/17 04:48:49 PM,93.873,3456.0,,,,,
122,03/19/17 05:18:49 PM,86.823,1344.0,,,,,
123,03/19/17 05:48:49 PM,80.206,368.0,,,,,
124,03/19/17 06:18:49 PM,76.181,304.0,,,,,
125,03/19/17 06:48:49 PM,73.753,25.0,,,,,
126,03/19/17 07:18:49 PM,70.824,0.0,,,,,
127,03/19/17 07:48:49 PM,69.278,0.0,,,,,
128,03/19/17 08:18:49 PM,68.077,0.0,,,,,
129,03/19/17 08:48:49 PM,66.537,0.0,,,,,
130,03/19/17 09:18:49 PM,63.968,0.0,,,,,
131,03/19/17 09:48:49 PM,62.254,0.0,,,,,
132,03/19/17 10:18:49 PM,61.398,0.0,,,,,
133,03/19/17 10:48:49 PM,60.712,0.0,,,,,
134,03/19/17 11:18:49 PM,59.680,0.0,,,,,
135,03/19/17 11:48:49 PM,59.164,0.0,,,,,
136,03/20/17 12:18:49 AM,58.820,0.0,,,,,
137,03/20/17 12:48:49 AM,58.993,0.0,,,,,
138,03/20/17 01:18:49 AM,60.712,0.0,,,,,
139,03/20/17 01:48:49 AM,60.195,0.0,,,,,
140,03/20/17 02:18:49 AM,60.368,0.0,,,,,
141,03/20/17 02:48:49 AM,61.054,0.0,,,,,
142,03/20/17 03:18:49 AM,59.508,0.0,,,,,
143,03/20/17 03:48:49 AM,57.958,0.0,,,,,
144,03/20/17 04:18:49 AM,57.958,0.0,,,,,
145,03/20/17 04:48:49 AM,58.647,0.0,,,,,
146,03/20/17 05:18:49 AM,57.785,0.0,,,,,
147,03/20/17 05:48:49 AM,57.441,0.0,,,,,
148,03/20/17 06:18:49 AM,57.441,0.0,,,,,
149,03/20/17 06:48:49 AM,58.131,33.0,,,,,
150,03/20/17 07:18:49 AM,59.851,480.0,,,,,
151,03/20/17 07:48:49 AM,61.912,864.0,,,,,
152,03/20/17 08:18:49 AM,68.421,1728.0,,,,,
153,03/20/17 08:48:49 AM,68.077,1600.0,,,,,
154,03/20/17 09:18:49 AM,68.421,992.0,,,,,
155,03/20/17 09:48:49 AM,68.763,1536.0,,,,,
156,03/20/17 10:18:49 AM,76.876,2944.0,,,,,
157,03/20/17 10:48:49 AM,81.090,2688.0,,,,,
158,03/20/17 11:18:49 AM,97.916,7936.0,,,,,
159,03/20/17 11:48:49 AM,109.396,17408.0,,,,,
160,03/20/17 12:18:49 PM,119.878,14848.0,,,,,
161,03/20/17 12:48:49 PM,104.747,6912.0,,,,,
162,03/20/17 01:18:49 PM,120.362,16384.0,,,,,
163,03/20/17 01:48:49 PM,131.211,17408.0,,,,,
164,03/20/17 02:18:49 PM,130.386,16384.0,,,,,
165,03/20/17 02:48:49 PM,125.611,15360.0,,,,,
166,03/20/17 03:18:49 PM,121.093,5632.0,,,,,
167,03/20/17 03:48:49 PM,115.637,8192.0,,,,,
168,03/20/17 04:18:49 PM,100.882,3968.0,,,,,
169,03/20/17 04:48:49 PM,92.550,2304.0,,,,,
170,03/20/17 05:18:49 PM,86.097,992.0,,,,,
171,03/20/17 05:48:49 PM,81.090,672.0,,,,,
172,03/20/17 06:18:49 PM,74.619,144.0,,,,,
173,03/20/17 06:48:49 PM,69.964,35.0,,,,,
174,03/20/17 07:18:49 PM,66.708,0.0,,,,,
175,03/20/17 07:48:49 PM,64.310,0.0,,,,,
176,03/20/17 08:18:49 PM,63.626,0.0,,,,,
177,03/20/17 08:48:49 PM,62.598,0.0,,,,,
178,03/20/17 09:18:49 PM,62.254,0.0,,,,,
179,03/20/17 09:48:49 PM,60.712,0.0,,,,,
180,03/20/17 10:18:49 PM,59.680,0.0,,,,,
181,03/20/17 10:48:49 PM,56.404,0.0,,,,,
182,03/20/17 11:18:49 PM,55.537,0.0,,,,,
183,03/20/17 11:48:49 PM,54.147,0.0,,,,,
184,03/21/17 12:18:49 AM,52.750,0.0,,,,,
185,03/21/17 12:48:49 AM,51.874,0.0,,,,,
186,03/21/17 01:18:49 AM,51.874,0.0,,,,,
187,03/21/17 01:48:49 AM,53.100,0.0,,,,,
188,03/21/17 02:18:49 AM,52.050,0.0,,,,,
189,03/21/17 02:48:49 AM,51.523,0.0,,,,,
190,03/21/17 03:18:49 AM,52.050,0.0,,,,,
191,03/21/17 03:48:49 AM,53.449,0.0,,,,,
192,03/21/17 04:18:49 AM,53.973,0.0,,,,,
193,03/21/17 04:48:49 AM,55.189,0.0,,,,,
194,03/21/17 05:18:49 AM,53.449,0.0,,,,,
195,03/21/17 05:48:49 AM,54.495,0.0,,,,,
196,03/21/17 06:18:49 AM,53.973,0.0,,,,,
197,03/21/17 06:48:49 AM,52.750,40.0,,,,,
198,03/21/17 07:18:49 AM,56.750,144.0,,,,,
199,03/21/17 07:48:49 AM,65.167,1088.0,,,,,
200,03/21/17 08:18:49 AM,63.626,1152.0,,,,,
201,03/21/17 08:48:49 AM,62.083,960.0,,,,,
202,03/21/17 09:18:49 AM,71.512,6912.0,,,,,
203,03/21/17 09:48:49 AM,84.834,6656.0,,,,,
204,03/21/17 10:18:49 AM,101.282,12288.0,,,,,
205,03/21/17 10:48:49 AM,92.550,4352.0,,,,,
206,03/21/17 11:18:49 AM,96.555,5376.0,,,,,
207,03/21/17 11:48:49 AM,112.244,16384.0,,,,,
208,03/21/17 12:18:49 PM,121.582,17408.0,,,,,
209,03/21/17 12:48:49 PM,102.900,3968.0,,,,,
210,03/21/17 01:18:49 PM,119.158,17408.0,,,,,
211,03/21/17 01:48:49 PM,130.386,17408.0,,,,,
212,03/21/17 02:18:49 PM,130.386,16384.0,,,,,
213,03/21/17 02:48:49 PM,120.362,15360.0,,,,,
214,03/21/17 03:18:49 PM,115.867,10240.0,,,,,
215,03/21/17 03:48:49 PM,110.264,11776.0,,,,,
216,03/21/17 04:18:49 PM,100.882,6144.0,,,,,
217,03/21/17 04:48:49 PM,93.115,2816.0,,,,,
218,03/21/17 05:18:49 PM,84.115,1216.0,,,,,
219,03/21/17 05:48:49 PM,78.274,496.0,,,,,
220,03/21/17 06:18:49 PM,71.856,256.0,,,,,
221,03/21/17 06:48:49 PM,68.077,52.0,,,,,
222,03/21/17 07:18:49 PM,65.680,0.0,,,,,
223,03/21/17 07:48:49 PM,64.310,0.0,,,,,
224,03/21/17 08:18:49 PM,62.940,0.0,,,,,
225,03/21/17 08:48:49 PM,61.741,0.0,,,,,
226,03/21/17 09:18:49 PM,60.712,0.0,,,,,
227,03/21/17 09:48:49 PM,60.024,0.0,,,,,
228,03/21/17 10:18:49 PM,59.337,0.0,,,,,
229,03/21/17 10:48:49 PM,58.476,0.0,,,,,
230,03/21/17 11:18:49 PM,57.614,0.0,,,,,
231,03/21/17 11:48:49 PM,57.096,0.0,,,,,
232,03/22/17 12:18:49 AM,56.230,0.0,,,,,
233,03/22/17 12:48:49 AM,55.884,0.0,,,,,
234,03/22/17 01:18:49 AM,55.711,0.0,,,,,
235,03/22/17 01:48:49 AM,55.364,0.0,,,,,
236,03/22/17 02:18:49 AM,54.842,0.0,,,,,
237,03/22/17 02:48:49 AM,53.973,0.0,,,,,
238,03/22/17 03:18:49 AM,52.750,0.0,,,,,
239,03/22/17 03:48:49 AM,52.225,0.0,,,,,
240,03/22/17 04:18:49 AM,50.819,0.0,,,,,
241,03/22/17 04:48:49 AM,51.874,0.0,,,,,
242,03/22/17 05:18:49 AM,52.401,0.0,,,,,
243,03/22/17 05:48:49 AM,51.874,0.0,,,,,
244,03/22/17 06:18:49 AM,51.346,0.0,,,,,
245,03/22/17 06:48:49 AM,51.346,38.0,,,,,
246,03/22/17 07:18:49 AM,51.346,116.0,,,,,
247,03/22/17 07:48:49 AM,51.346,384.0,,,,,
248,03/22/17 08:18:49 AM,64.996,1856.0,,,,,
249,03/22/17 08:48:49 AM,76.006,3456.0,,,,,
250,03/22/17 09:18:49 AM,86.459,6656.0,,,,,
251,03/22/17 09:48:49 AM,84.654,4096.0,,,,,
252,03/22/17 10:18:49 AM,78.800,6400.0,,,,,
253,03/22/17 10:48:49 AM,76.703,2944.0,,,,,
254,03/22/17 11:18:49 AM,84.295,6144.0,,,,,
255,03/22/17 11:48:49 AM,89.384,8704.0,,,,,
256,03/22/17 12:18:49 PM,87.733,3840.0,,,,,
257,03/22/17 12:48:49 PM,88.099,15872.0,,,,,
258,03/22/17 01:18:49 PM,100.283,6656.0,,,,,
259,03/22/17 01:48:49 PM,94.825,6656.0,,,,,
260,03/22/17 02:18:49 PM,94.062,11264.0,,,,,
261,03/22/17 02:48:49 PM,88.099,3328.0,,,,,
262,03/22/17 03:18:49 PM,71.683,304.0,,,,,
263,03/22/17 03:48:49 PM,69.449,3712.0,,,,,
264,03/22/17 04:18:49 PM,63.626,1408.0,,,,,
265,03/22/17 04:48:49 PM,59.164,768.0,,,,,
266,03/22/17 05:18:49 PM,59.164,608.0,,,,,
267,03/22/17 05:48:49 PM,57.785,480.0,,,,,
268,03/22/17 06:18:49 PM,58.476,576.0,,,,,
269,03/22/17 06:48:49 PM,54.669,38.0,,,,,
270,03/22/17 07:18:49 PM,52.925,0.0,,,,,
271,03/22/17 07:48:49 PM,50.643,0.0,,,,,
272,03/22/17 08:18:49 PM,48.695,0.0,,,,,
273,03/22/17 08:48:49 PM,48.695,0.0,,,,,
274,03/22/17 09:18:49 PM,47.802,0.0,,,,,
275,03/22/17 09:48:49 PM,47.088,0.0,,,,,
276,03/22/17 10:18:49 PM,46.908,0.0,,,,,
277,03/22/17 10:48:49 PM,46.369,0.0,,,,,
278,03/22/17 11:18:49 PM,45.828,0.0,,,,,
279,03/22/17 11:48:49 PM,45.286,0.0,,,,,
280,03/23/17 12:18:49 AM,44.560,0.0,,,,,
281,03/23/17 12:48:49 AM,44.379,0.0,,,,,
282,03/23/17 01:18:49 AM,43.466,0.0,,,,,
283,03/23/17 01:48:49 AM,42.915,0.0,,,,,
284,03/23/17 02:18:49 AM,42.179,0.0,,,,,
285,03/23/17 02:48:49 AM,41.994,0.0,,,,,
286,03/23/17 03:18:49 AM,42.179,0.0,,,,,
287,03/23/17 03:48:49 AM,41.994,0.0,,,,,
288,03/23/17 04:18:49 AM,41.810,0.0,,,,,
289,03/23/17 04:48:49 AM,41.439,0.0,,,,,
290,03/23/17 05:18:49 AM,41.439,0.0,,,,,
291,03/23/17 05:48:49 AM,41.254,0.0,,,,,
292,03/23/17 06:18:49 AM,40.696,0.0,,,,,
293,03/23/17 06:48:49 AM,40.696,60.0,,,,,
294,03/23/17 07:18:49 AM,44.922,1216.0,,,,,
295,03/23/17 07:48:49 AM,50.643,1664.0,,,,,
296,03/23/17 08:18:49 AM,56.057,1792.0,,,,,
297,03/23/17 08:48:49 AM,59.508,3584.0,,,,,
298,03/23/17 09:18:49 AM,57.441,512.0,,,,,
299,03/23/17 09:48:49 AM,68.934,4096.0,,,,,
300,03/23/17 10:18:49 AM,76.181,5120.0,,,,,
301,03/23/17 10:48:49 AM,74.098,14336.0,,,,,
302,03/23/17 11:18:49 AM,73.926,16384.0,,,,,
303,03/23/17 11:48:49 AM,86.097,17408.0,,,,,
304,03/23/17 12:18:49 PM,79.853,17408.0,,,,,
305,03/23/17 12:48:49 PM,76.181,2048.0,,,,,
306,03/23/17 01:18:49 PM,94.633,18432.0,,,,,
307,03/23/17 01:48:49 PM,99.687,18432.0,,,,,
308,03/23/17 02:18:49 PM,100.882,14848.0,,,,,
309,03/23/17 02:48:49 PM,99.291,12800.0,,,,,
310,03/23/17 03:18:49 PM,100.283,5888.0,,,,,
311,03/23/17 03:48:49 PM,94.253,3840.0,,,,,
312,03/23/17 04:18:49 PM,83.757,2176.0,,,,,
313,03/23/17 04:48:49 PM,76.876,2816.0,,,,,
314,03/23/17 05:18:49 PM,72.028,1600.0,,,,,
315,03/23/17 05:48:49 PM,67.735,672.0,,,,,
316,03/23/17 06:18:49 PM,61.741,120.0,,,,,
317,03/23/17 06:48:49 PM,57.614,54.0,,,,,
318,03/23/17 07:18:49 PM,55.017,0.0,,,,,
319,03/23/17 07:48:49 PM,53.100,0.0,,,,,
320,03/23/17 08:18:49 PM,52.225,0.0,,,,,
321,03/23/17 08:48:49 PM,51.523,0.0,,,,,
322,03/23/17 09:18:49 PM,50.819,0.0,,,,,
323,03/23/17 09:48:49 PM,48.339,0.0,,,,,
324,03/23/17 10:18:49 PM,47.446,0.0,,,,,
325,03/23/17 10:48:49 PM,46.008,0.0,,,,,
326,03/23/17 11:18:49 PM,45.648,0.0,,,,,
327,03/23/17 11:48:49 PM,46.728,0.0,,,,,
328,03/24/17 12:18:49 AM,48.339,0.0,,,,,
329,03/24/17 12:48:49 AM,47.982,0.0,,,,,
330,03/24/17 01:18:49 AM,47.624,0.0,,,,,
331,03/24/17 01:48:49 AM,46.908,0.0,,,,,
332,03/24/17 02:18:49 AM,46.369,0.0,,,,,
333,03/24/17 02:48:49 AM,44.013,0.0,,,,,
334,03/24/17 03:18:49 AM,41.625,0.0,,,,,
335,03/24/17 03:48:49 AM,41.254,0.0,,,,,
336,03/24/17 04:18:49 AM,40.321,0.0,,,,,
337,03/24/17 04:48:49 AM,41.994,0.0,,,,,
338,03/24/17 05:18:49 AM,41.625,0.0,,,,,
339,03/24/17 05:48:49 AM,40.134,0.0,,,,,
340,03/24/17 06:18:49 AM,39.384,0.0,,,,,
341,03/24/17 06:48:49 AM,39.196,136.0,,,,,
342,03/24/17 07:18:49 AM,47.446,1536.0,,,,,
343,03/24/17 07:48:49 AM,59.508,2304.0,,,,,
344,03/24/17 08:18:49 AM,69.793,1728.0,,,,,
345,03/24/17 08:48:49 AM,79.853,2816.0,,,,,
346,03/24/17 09:18:49 AM,90.309,9216.0,,,,,
347,03/24/17 09:48:49 AM,87.004,6400.0,,,,,
348,03/24/17 10:18:49 AM,102.088,7936.0,,,,,
349,03/24/17 10:48:49 AM,98.503,15360.0,,,,,
350,03/24/17 11:18:49 AM,97.916,9728.0,,,,,
351,03/24/17 11:48:49 AM,108.322,17408.0,,,,,
352,03/24/17 12:18:49 PM,111.139,17408.0,,,,,
353,03/24/17 12:48:49 PM,101.484,9728.0,,,,,
354,03/24/17 01:18:49 PM,117.968,17408.0,,,,,
355,03/24/17 01:48:49 PM,125.611,17408.0,,,,,
356,03/24/17 02:18:49 PM,126.648,17408.0,,,,,
357,03/24/17 02:48:49 PM,120.119,15872.0,,,,,
358,03/24/17 03:18:49 PM,115.407,14336.0,,,,,
359,03/24/17 03:48:49 PM,107.470,5632.0,,,,,
360,03/24/17 04:18:49 PM,95.590,2304.0,,,,,
361,03/24/17 04:48:49 PM,88.466,1920.0,,,,,
362,03/24/17 05:18:49 PM,81.442,1088.0,,,,,
363,03/24/17 05:48:49 PM,75.484,400.0,,,,,
364,03/24/17 06:18:49 PM,67.906,256.0,,,,,
365,03/24/17 06:48:49 PM,63.968,95.0,,,,,
366,03/24/17 07:18:49 PM,59.508,0.0,,,,,
367,03/24/17 07:48:49 PM,56.577,0.0,,,,,
368,03/24/17 08:18:49 PM,54.322,0.0,,,,,
369,03/24/17 08:48:49 PM,52.925,0.0,,,,,
370,03/24/17 09:18:49 PM,52.576,0.0,,,,,
371,03/24/17 09:48:49 PM,51.523,0.0,,,,,
372,03/24/17 10:18:49 PM,49.937,0.0,,,,,
373,03/24/17 10:48:49 PM,49.582,0.0,,,,,
374,03/24/17 11:18:49 PM,48.517,0.0,,,,,
375,03/24/17 11:48:49 PM,49.582,0.0,,,,,
376,03/25/17 12:18:49 AM,49.582,0.0,,,,,
377,03/25/17 12:48:49 AM,50.113,0.0,,,,,
378,03/25/17 01:18:49 AM,49.582,0.0,,,,,
379,03/25/17 01:48:49 AM,48.871,0.0,,,,,
380,03/25/17 02:18:49 AM,48.871,0.0,,,,,
381,03/25/17 02:48:49 AM,49.050,0.0,,,,,
382,03/25/17 03:18:49 AM,49.404,0.0,,,,,
383,03/25/17 03:48:49 AM,51.172,0.0,,,,,
384,03/25/17 04:18:49 AM,52.750,0.0,,,,,
385,03/25/17 04:48:49 AM,52.401,0.0,,,,,
386,03/25/17 05:18:49 AM,50.995,0.0,,,,,
387,03/25/17 05:48:49 AM,51.523,0.0,,,,,
388,03/25/17 06:18:49 AM,51.346,0.0,,,,,
389,03/25/17 06:48:49 AM,51.172,47.0,,,,,
390,03/25/17 07:18:49 AM,55.017,1536.0,,,,,
391,03/25/17 07:48:49 AM,55.017,2048.0,,,,,
392,03/25/17 08:18:49 AM,64.652,1792.0,,,,,
393,03/25/17 08:48:49 AM,72.372,4096.0,,,,,
394,03/25/17 09:18:49 AM,78.800,9216.0,,,,,
395,03/25/17 09:48:49 AM,70.824,6144.0,,,,,
396,03/25/17 10:18:49 AM,78.098,4352.0,,,,,
397,03/25/17 10:48:49 AM,74.619,9728.0,,,,,
398,03/25/17 11:18:49 AM,82.330,2944.0,,,,,
399,03/25/17 11:48:49 AM,97.137,18432.0,,,,,
400,03/25/17 12:18:49 PM,91.612,17408.0,,,,,
401,03/25/17 12:48:49 PM,89.938,2304.0,,,,,
402,03/25/17 01:18:49 PM,101.484,18432.0,,,,,
403,03/25/17 01:48:49 PM,106.414,18432.0,,,,,
404,03/25/17 02:18:49 PM,104.747,12288.0,,,,,
405,03/25/17 02:48:49 PM,106.414,11264.0,,,,,
406,03/25/17 03:18:49 PM,95.207,1472.0,,,,,
407,03/25/17 03:48:49 PM,94.444,10752.0,,,,,
408,03/25/17 04:18:49 PM,82.330,2816.0,,,,,
409,03/25/17 04:48:49 PM,80.559,3840.0,,,,,
410,03/25/17 05:18:49 PM,77.225,576.0,,,,,
411,03/25/17 05:48:49 PM,72.891,768.0,,,,,
412,03/25/17 06:18:49 PM,66.708,128.0,,,,,
413,03/25/17 06:48:49 PM,61.227,49.0,,,,,
414,03/25/17 07:18:49 PM,58.476,0.0,,,,,
415,03/25/17 07:48:49 PM,55.884,0.0,,,,,
416,03/25/17 08:18:49 PM,55.711,0.0,,,,,
417,03/25/17 08:48:49 PM,55.189,0.0,,,,,
418,03/25/17 09:18:49 PM,54.322,0.0,,,,,
419,03/25/17 09:48:49 PM,53.798,0.0,,,,,
420,03/25/17 10:18:49 PM,53.100,0.0,,,,,
421,03/25/17 10:48:49 PM,51.699,0.0,,,,,
422,03/25/17 11:18:49 PM,50.643,0.0,,,,,
423,03/25/17 11:48:49 PM,50.290,0.0,,,,,
424,03/26/17 12:18:49 AM,50.466,0.0,,,,,
425,03/26/17 12:48:49 AM,49.759,0.0,,,,,
426,03/26/17 01:18:49 AM,49.582,0.0,,,,,
427,03/26/17 01:48:49 AM,49.582,0.0,,,,,
428,03/26/17 02:18:49 AM,49.404,0.0,,,,,
429,03/26/17 02:48:49 AM,48.871,0.0,,,,,
430,03/26/17 03:18:49 AM,48.517,0.0,,,,,
431,03/26/17 03:48:49 AM,47.802,0.0,,,,,
432,03/26/17 04:18:49 AM,47.982,0.0,,,,,
433,03/26/17 04:48:49 AM,47.624,0.0,,,,,
434,03/26/17 05:18:49 AM,44.742,0.0,,,,,
435,03/26/17 05:48:49 AM,43.099,0.0,,,,,
436,03/26/17 06:18:49 AM,41.994,1.0,,,,,
437,03/26/17 06:48:49 AM,41.810,71.0,,,,,
438,03/26/17 07:18:49 AM,48.160,1152.0,,,,,
439,03/26/17 07:48:49 AM,60.883,2304.0,,,,,
440,03/26/17 08:18:49 AM,70.995,2048.0,,,,,
441,03/26/17 08:48:49 AM,79.326,6144.0,,,,,
442,03/26/17 09:18:49 AM,92.174,9728.0,,,,,
443,03/26/17 09:48:49 AM,86.459,7936.0,,,,,
444,03/26/17 10:18:49 AM,102.697,7680.0,,,,,
445,03/26/17 10:48:49 AM,97.137,14848.0,,,,,
446,03/26/17 11:18:49 AM,95.400,4608.0,,,,,
447,03/26/17 11:48:49 AM,105.370,17408.0,,,,,
448,03/26/17 12:18:49 PM,104.128,17408.0,,,,,
449,03/26/17 12:48:49 PM,100.283,2304.0,,,,,
450,03/26/17 01:18:49 PM,117.028,18432.0,,,,,
451,03/26/17 01:48:49 PM,123.573,8192.0,,,,,
452,03/26/17 02:18:49 PM,123.071,16384.0,,,,,
453,03/26/17 02:48:49 PM,117.732,11264.0,,,,,
454,03/26/17 03:18:49 PM,112.690,13312.0,,,,,
455,03/26/17 03:48:49 PM,103.104,9216.0,,,,,
